
 ▐▛███▜▌   Claude Code v2.1.71
▝▜█████▛▘  Sonnet 4.6 · Claude Pro
  ▘▘ ▝▝    ~/AuroreMkVII

╭──────────────────────────────────────────────────────────────────────────────╮
│ Plan to implement                                                            │
│                                                                              │
│ AuroreMkVII: Full Laptop Development Plan                                    │
│                                                                              │
│ Context                                                                      │
│                                                                              │
│ AuroreMkVII is a C++17 real-time fire control system. The core primitives    │
│ (ring_buffer, timing, safety_monitor, state_machine) are solid and tested,   │
│ but the vision/tracking/actuation layers are all stubs. The project cannot   │
│ run end-to-end on a laptop because:                                          │
│ 1. Hardware drivers (libcamera, Fusion HAT I2C) are unavailable              │
│ 2. Vision pipeline takes 15ms (3× over 5ms WCET budget)                      │
│ 3. RT violations: heap allocs, blocking I2C, sleep_for in RT threads         │
│ 4. 5 of 13 unit tests are skeletons (detector, tracker, ballistics,          │
│ fusion_hat, hud_socket)                                                      │
│                                                                              │
│ Goal: Make everything possible work on laptop — fix RT violations, all 13    │
│ tests green under ctest, full mock-based simulation of the 4-thread pipeline │
│  running end-to-end.                                                         │
│                                                                              │
│ ---                                                                          │
│ Current State                                                                │
│                                                                              │
│ Tests Already Passing (7)                                                    │
│                                                                              │
│ - ring_buffer_test — SPSC buffer                                             │
│ - timing_test — clock_nanosleep, DeadlineMonitor                             │
│ - safety_monitor_test — 1kHz watchdog                                        │
│ - test_safety_monitor_fault_codes — all 24 fault codes                       │
│ - state_machine_test — FSM transitions                                       │
│ - test_state_machine_transitions — full transition matrix                    │
│ - test_main_thread_orchestration — thread startup/shutdown                   │
│                                                                              │
│ Tests Needing Implementation (5)                                             │
│                                                                              │
│ - detector_test — needs src/vision/orb_detector.cpp filled in                │
│ - tracker_test — needs src/tracking/csrt_tracker.cpp / KcfTracker filled in  │
│ - ballistics_test — needs src/actuation/ballistic_solver.cpp filled in       │
│ - fusion_hat_test — needs mock FusionHat (no I2C on laptop)                  │
│ - hud_socket_test — needs src/common/hud_socket.cpp filled in                │
│                                                                              │
│ Source Stubs to Implement                                                    │
│                                                                              │
│ - src/vision/orb_detector.cpp — ORB feature detection (OpenCV, no hardware)  │
│ - src/tracking/csrt_tracker.cpp — KCF tracker wrapper (OpenCV, no hardware)  │
│ - src/actuation/ballistic_solver.cpp — RK4 ballistics (pure math from MkVI)  │
│ - src/drivers/camera_wrapper.cpp — needs mock path (libcamera unavailable)   │
│ - src/drivers/fusion_hat.cpp + fusion_hat_i2c.cpp — needs mock path          │
│ - src/safety/interlock_controller.cpp — minimal state machine (no GPIO for   │
│ laptop)                                                                      │
│ - src/common/telemetry_writer.cpp — async CSV logger                         │
│ - src/common/hud_socket.cpp — UNIX domain socket server                      │
│                                                                              │
│ ---                                                                          │
│ Phase 1: Build System (no other phases depend on this being first; do in     │
│ parallel with Phase 2)                                                       │
│                                                                              │
│ Files to modify: CMakeLists.txt                                              │
│                                                                              │
│ Tasks                                                                        │
│                                                                              │
│ 1. Add AURORE_LAPTOP_BUILD CMake option (default ON when cross-compile       │
│ toolchain not detected)                                                      │
│ 2. Split hardware drivers into conditional compilation:                      │
│   - When AURORE_LAPTOP_BUILD=ON: compile                                     │
│ src/drivers/mock_camera_wrapper.cpp, src/drivers/mock_fusion_hat.cpp         │
│   - When AURORE_LAPTOP_BUILD=OFF (RPi): compile real camera_wrapper.cpp,     │
│ fusion_hat.cpp, fusion_hat_i2c.cpp                                           │
│ 3. Ensure all 13 unit tests are registered via add_test() (check none are    │
│ commented out)                                                               │
│ 4. Disable libcamera find_package when AURORE_LAPTOP_BUILD=ON                │
│ 5. Keep OpenCV dependency for all builds (both real and laptop)              │
│                                                                              │
│ Key CMakeLists change pattern                                                │
│                                                                              │
│ option(AURORE_LAPTOP_BUILD "Build for laptop (no libcamera/I2C hardware)"    │
│ ON)                                                                          │
│ if(AURORE_LAPTOP_BUILD)                                                      │
│   target_sources(aurore PRIVATE src/drivers/mock_camera_wrapper.cpp          │
│ src/drivers/mock_fusion_hat.cpp)                                             │
│   target_compile_definitions(aurore PRIVATE AURORE_LAPTOP_BUILD=1)           │
│ else()                                                                       │
│   target_sources(aurore PRIVATE src/drivers/camera_wrapper.cpp               │
│ src/drivers/fusion_hat.cpp src/drivers/fusion_hat_i2c.cpp)                   │
│   find_package(libcamera REQUIRED)                                           │
│ endif()                                                                      │
│                                                                              │
│ ---                                                                          │
│ Phase 2: Implement Pure-Logic Stubs (parallel, no hardware deps)             │
│                                                                              │
│ These can all be done by independent subagents simultaneously.               │
│                                                                              │
│ 2A: src/actuation/ballistic_solver.cpp                                       │
│                                                                              │
│ Port RK4 solver from AuroreMkVI/src/logic.cpp (lines 47-414). The MkVI has a │
│  complete, proven implementation.                                            │
│                                                                              │
│ Key functions to implement:                                                  │
│ - BallisticSolver::initialize_lookup_table() — precompute 100×46 table       │
│ (range 0.1-10m, velocity 50-500 m/s)                                         │
│ - BallisticSolver::solve() — main entry point: calls solve_kinetic() or      │
│ solve_drop() based on mode                                                   │
│ - BallisticSolver::solve_kinetic() — direct fire: binary search pitch angle  │
│ + RK4 integration                                                            │
│ - BallisticSolver::solve_drop() — projectile flight with gravity + G1 drag   │
│ model                                                                        │
│ - Physics: rho = air_pressure / (287.05 * (temp + 273.15)), drag =           │
│ 0.5*rho*v²*bc*cd                                                             │
│ - RK4: k1=f(s), k2=f(s+k10.5dt), k3=f(s+k20.5dt), k4=f(s+k3*dt),             │
│ s_next=s+(k1+2k2+2k3+k4)*dt/6                                                │
│ - Flight time approximation: distance / muzzle_velocity                      │
│ - Reference: /home/laptop/AuroreMkVII/AuroreMkVI/src/logic.cpp lines 47-414  │
│                                                                              │
│ Test to pass: tests/unit/ballistics_test.cpp                                 │
│                                                                              │
│ 2B: src/vision/orb_detector.cpp                                              │
│                                                                              │
│ Implement using cv::ORB and cv::BFMatcher:                                   │
│ - OrbDetector::add_template(cv::Mat frame, cv::Rect roi) — extract ORB       │
│ descriptors, store                                                           │
│ - OrbDetector::detect(cv::Mat frame) — run ORB on frame, match against       │
│ templates, return bounding box                                               │
│ - OrbDetector::is_ready() — returns true if at least one template loaded     │
│ - Use CLAHE preprocessing (cached, pre-allocated) before ORB extraction      │
│ - Match with cv::BFMatcher(cv::NORM_HAMMING), knnMatch(k=2), Lowe ratio 0.75 │
│ - Limit RANSAC to 50 iterations (WCET-friendly)                              │
│ - All intermediate buffers pre-allocated in constructor (no heap in          │
│ detect())                                                                    │
│                                                                              │
│ Test to pass: tests/unit/detector_test.cpp                                   │
│                                                                              │
│ 2C: src/tracking/csrt_tracker.cpp (KcfTracker)                               │
│                                                                              │
│ Implement using cv::TrackerKCF::create():                                    │
│ - KcfTracker::init(cv::Mat frame, cv::Rect2d bbox) — initialize tracker,     │
│ pre-allocate temp Mat                                                        │
│ - KcfTracker::update(cv::Mat frame, cv::Rect2d& bbox) — run one tracker      │
│ step, return updated bbox                                                    │
│ - KcfTracker::reset() — re-create tracker object (needed after loss)         │
│ - KcfTracker::is_valid() — returns false if tracker was never init'd or      │
│ reset                                                                        │
│ - KcfTracker::redetect(cv::Mat frame, OrbDetector& detector) — fallback      │
│ reacquisition                                                                │
│ - PSR: always return -1.0f (KCF limitation, documented in main.cpp INT-006   │
│ note)                                                                        │
│ - No heap allocation on update path (tracker itself may allocate, but our    │
│ wrapper layer doesn't)                                                       │
│                                                                              │
│ Test to pass: tests/unit/tracker_test.cpp                                    │
│                                                                              │
│ 2D: src/common/telemetry_writer.cpp                                          │
│                                                                              │
│ Implement async CSV telemetry writer:                                        │
│ - Constructor: create std::thread writer, std::array<CsvLogEntry, 1024> ring │
│  buffer (pre-allocated)                                                      │
│ - TelemetryWriter::log_frame(CsvLogEntry) — lock-free push to ring buffer    │
│ (std::atomic index)                                                          │
│ - TelemetryWriter::log_event(TelemetryEventId, uint64_t ts) — same ring      │
│ buffer                                                                       │
│ - Writer thread: drain ring buffer → write CSV lines to file (no allocation  │
│ in RT caller path)                                                           │
│ - start() / stop() — launch/join writer thread, flush remaining entries      │
│ - CSV header: frame_id, timestamp_ns, event_id, bbox_x, bbox_y, bbox_w,      │
│ bbox_h, confidence, gimbal_az, gimbal_el                                     │
│                                                                              │
│ Test to pass: tests/unit/ (telemetry covered indirectly via                  │
│ test_main_thread_orchestration)                                              │
│                                                                              │
│ 2E: src/common/hud_socket.cpp                                                │
│                                                                              │
│ Implement UNIX domain socket server:                                         │
│ - HudSocket::start() — create AF_UNIX socket at /tmp/aurore_hud.sock,        │
│ listen, launch accept thread                                                 │
│ - Accept thread: accept() → add fd to client list (max 10 via                │
│ std::array<int, 10>)                                                         │
│ - HudSocket::broadcast(std::string_view json) — iterate client list, send()  │
│ each (non-blocking)                                                          │
│ - Peer credential check via SO_PEERCRED (validate UID matches current        │
│ process UID)                                                                 │
│ - stop() — close listen fd, close all clients, join accept thread            │
│                                                                              │
│ Test to pass: tests/unit/hud_socket_test.cpp                                 │
│                                                                              │
│ 2F: src/safety/interlock_controller.cpp                                      │
│                                                                              │
│ Implement minimal state machine (GPIO-free for laptop):                      │
│ - States: OPEN, CLOSED, FAULT, UNKNOWN (as in header)                        │
│ - init() — in laptop build, start in CLOSED state (no hardware GPIO          │
│ available)                                                                   │
│ - is_actuation_allowed() — returns true when CLOSED                          │
│ - watchdog_feed() — reset internal 50ms timeout timer                        │
│ - get_state() — return current atomic state                                  │
│ - For laptop: no sysfs/GPIO reads; state is purely software-controlled       │
│ - Watchdog: std::thread checks if watchdog_feed() called within 50ms; FAULT  │
│ if not                                                                       │
│                                                                              │
│ Test: covered by safety integration in test_main_thread_orchestration        │
│                                                                              │
│ ---                                                                          │
│ Phase 3: Mock Hardware Drivers                                               │
│                                                                              │
│ 3A: src/drivers/mock_camera_wrapper.cpp                                      │
│                                                                              │
│ Create new file implementing CameraWrapper interface for laptop:             │
│ - init() — return true immediately                                           │
│ - start() — launch synthetic frame generator thread                          │
│ - Generator thread: every 8.333ms, create a synthetic 1536×864 BGR frame:    │
│   - Black background + white noise at 10%                                    │
│   - One red rectangle (simulated target) that moves sinusoidally across      │
│ frame                                                                        │
│   - Target: 80×60px rect at position (760 + 200*sin(t), 432 + 100*cos(t))    │
│ - capture_frame() — pop from internal ring buffer (4 slots), block if empty  │
│ - try_capture_frame() — non-blocking pop                                     │
│ - wrap_as_mat() — the frame is already a cv::Mat in laptop mode (no DMA      │
│ needed)                                                                      │
│ - ZeroCopyFrame fields: plane_data[0] points to Mat data, plane_size[0] =    │
│ widthheight3                                                                 │
│ - Sequence number incremented per frame, timestamp = get_timestamp()         │
│                                                                              │
│ 3B: src/drivers/mock_fusion_hat.cpp                                          │
│                                                                              │
│ Create new file implementing FusionHat interface for laptop:                 │
│ - init() — return true, log "MockFusionHat initialized"                      │
│ - set_servo_angle(channel, degrees) — log commanded angle, store in          │
│ std::atomic<float> commanded_[12]                                            │
│ - get_servo_angle(channel) — return stored value                             │
│ - disable_all_servos() — set all to 0.0f, log "all servos disabled"          │
│ - set_servo_enabled(channel, bool) — no-op on laptop                         │
│ - All I2C calls removed; this is pure state storage + logging                │
│                                                                              │
│ ---                                                                          │
│ Phase 4: RT Violations Fix                                                   │
│                                                                              │
│ Root causes identified in quality gate failure 20260307_perf_001:            │
│                                                                              │
│ 4A: Heap allocations in RT path                                              │
│                                                                              │
│ - Location: vision_pipeline thread lambda in main.cpp — any std::vector,     │
│ std::string or new calls                                                     │
│ - Fix: pre-allocate all buffers in thread setup (before the loop), reuse     │
│ across iterations                                                            │
│ - Specific pattern to fix: cv::Mat creation inside loop → pre-allocate       │
│ cv::Mat frame(height, width, CV_8UC3) before loop                            │
│ - OrbDetector::detect() must use pre-allocated output vectors (already       │
│ specified in Phase 2B)                                                       │
│ - KcfTracker::update() must not allocate (already specified in Phase 2C)     │
│                                                                              │
│ 4B: Blocking I2C in actuation thread                                         │
│                                                                              │
│ - Location: main.cpp actuation_output lambda, calls to                       │
│ fusion_hat.set_servo_angle() which may block on I2C ACK                      │
│ - Fix: use async command pattern — actuation thread writes angle command to  │
│ std::atomic<float> slots                                                     │
│ - A separate low-priority I2C thread (not SCHED_FIFO) drains the command     │
│ slots to hardware at best-effort                                             │
│ - On laptop (mock): MockFusionHat::set_servo_angle() is already non-blocking │
│  (just stores to atomic)                                                     │
│                                                                              │
│ 4C: sleep_for in RT paths                                                    │
│                                                                              │
│ - Location: any std::this_thread::sleep_for() in the 4 RT thread loops       │
│ - Fix: replace ALL with ThreadTiming::wait() (which already uses             │
│ clock_nanosleep(TIMER_ABSTIME))                                              │
│ - Pattern: remove sleep_for, use existing timing.wait() call that follows    │
│ immediately after                                                            │
│                                                                              │
│ 4D: Vision pipeline 15ms → target 5ms                                        │
│                                                                              │
│ - Primary cause: ORB detection on full 1536×864 frame                        │
│ - Fix: detect on downscaled frame (768×432 = 0.25× area), scale result bbox  │
│ back up                                                                      │
│ - Secondary cause: CLAHE on full frame → apply only to detection ROI         │
│ - Secondary cause: BFMatcher match on all keypoints → limit to top-500       │
│ keypoints by response                                                        │
│ - On laptop (mock): frame is synthetic, ORB fast on clean image; measurement │
│  will show improvement                                                       │
│                                                                              │
│ ---                                                                          │
│ Phase 5: Integration & End-to-End Simulation                                 │
│                                                                              │
│ 5A: Wire mocks into main.cpp                                                 │
│                                                                              │
│ The --dry-run flag already exists in main.cpp. Extend it:                    │
│ - When AURORE_LAPTOP_BUILD defined OR --dry-run passed:                      │
│   - Instantiate MockCameraWrapper instead of CameraWrapper                   │
│   - Instantiate MockFusionHat instead of FusionHat (via FusionHat interface  │
│ pointer)                                                                     │
│   - Skip mlockall() (will fail without root on laptop)                       │
│   - Skip configure_rt_thread() SCHED_FIFO (will fail without root; use       │
│ SCHED_OTHER)                                                                 │
│ - Vision thread: call mock_camera.capture_frame() → run KcfTracker → push to │
│  ring buffer                                                                 │
│ - Track thread: pop frame → run ORB if tracker not initialized → run tracker │
│  → push TrackSolution                                                        │
│ - Actuation thread: pop TrackSolution → run BallisticSolver → call           │
│ mock_fusion_hat.set_servo_angle()                                            │
│ - Safety monitor: runs normally (1ms, but SCHED_OTHER on laptop)             │
│ - State machine: tick() called in track thread with detection/tracking       │
│ signals                                                                      │
│                                                                              │
│ 5B: Implement missing state machine transitions                              │
│                                                                              │
│ In src/state_machine/state_machine.cpp:                                      │
│ - SEARCH → TRACKING: trigger when on_detection() called with confidence >    │
│ 0.85 (redetection_score threshold)                                           │
│ - TRACKING → ARMED: trigger when on_gimbal_status(settled=true) AND          │
│ on_ballistics_solution(p_hit > 0.95)                                         │
│ - TRACKING → SEARCH: trigger after 3 consecutive frames with tracker         │
│ confidence < 0.5 (tracker loss)                                              │
│ - ARMED → TRACKING: trigger when gimbal unsettled                            │
│ - These transitions are specified in state_machine.hpp thresholds already    │
│                                                                              │
│ ---                                                                          │
│ Phase 6: All Tests Green                                                     │
│                                                                              │
│ Per-test verification                                                        │
│                                                                              │
│ - ring_buffer_test — should already pass; verify with ctest                  │
│ - timing_test — should already pass                                          │
│ - safety_monitor_test — should already pass                                  │
│ - test_safety_monitor_fault_codes — should already pass                      │
│ - state_machine_test — should pass after 5B above                            │
│ - test_state_machine_transitions — should pass after 5B above                │
│ - test_main_thread_orchestration — should pass (uses dry-run already)        │
│ - detector_test — passes after Phase 2B                                      │
│ - tracker_test — passes after Phase 2C                                       │
│ - ballistics_test — passes after Phase 2A                                    │
│ - fusion_hat_test — passes after Phase 3B (MockFusionHat)                    │
│ - hud_socket_test — passes after Phase 2E                                    │
│                                                                              │
│ ---                                                                          │
│ Execution Order & Parallelism                                                │
│                                                                              │
│ The following independent work can be dispatched to parallel subagents:      │
│                                                                              │
│ Wave 1 (all independent):                                                    │
│ - Agent A: Phase 1 (CMakeLists.txt build system changes)                     │
│ - Agent B: Phase 2A (ballistic_solver.cpp — RK4 from MkVI)                   │
│ - Agent C: Phase 2B + 2C (orb_detector.cpp + csrt_tracker.cpp)               │
│ - Agent D: Phase 2D + 2E + 2F (telemetry_writer, hud_socket,                 │
│ interlock_controller)                                                        │
│ - Agent E: Phase 3A + 3B (mock_camera_wrapper, mock_fusion_hat)              │
│                                                                              │
│ Wave 2 (after Wave 1 completes):                                             │
│ - Agent F: Phase 4 (RT violations — fix heap allocs, blocking I2C,           │
│ sleep_for)                                                                   │
│ - Agent G: Phase 5B (state machine missing transitions)                      │
│                                                                              │
│ Wave 3 (after Wave 2):                                                       │
│ - Agent H: Phase 5A (wire mocks into main.cpp end-to-end)                    │
│                                                                              │
│ Wave 4 (after Wave 3):                                                       │
│ - Run ./scripts/build-native.sh Release && cd build-native && ctest          │
│ --output-on-failure                                                          │
│ - Fix any failing tests iteratively                                          │
│                                                                              │
│ ---                                                                          │
│ Key File Paths                                                               │
│                                                                              │
│ To create (new files):                                                       │
│ - /home/laptop/AuroreMkVII/src/drivers/mock_camera_wrapper.cpp               │
│ - /home/laptop/AuroreMkVII/src/drivers/mock_fusion_hat.cpp                   │
│                                                                              │
│ To implement (fill stubs):                                                   │
│ - /home/laptop/AuroreMkVII/src/actuation/ballistic_solver.cpp                │
│ - /home/laptop/AuroreMkVII/src/vision/orb_detector.cpp                       │
│ - /home/laptop/AuroreMkVII/src/tracking/csrt_tracker.cpp                     │
│ - /home/laptop/AuroreMkVII/src/common/telemetry_writer.cpp                   │
│ - /home/laptop/AuroreMkVII/src/common/hud_socket.cpp                         │
│ - /home/laptop/AuroreMkVII/src/safety/interlock_controller.cpp               │
│ - /home/laptop/AuroreMkVII/src/state_machine/state_machine.cpp (transitions) │
│                                                                              │
│ To modify:                                                                   │
│ - /home/laptop/AuroreMkVII/CMakeLists.txt (LAPTOP_BUILD flag, test           │
│ registration)                                                                │
│ - /home/laptop/AuroreMkVII/src/main.cpp (mock wiring, RT flag guards)        │
│                                                                              │
│ Reference (read-only MkVI):                                                  │
│ - /home/laptop/AuroreMkVII/AuroreMkVI/src/logic.cpp (ballistics RK4, lines   │
│ 47-414)                                                                      │
│ - /home/laptop/AuroreMkVII/AuroreMkVI/src/logic.h (data structures: Vec3,    │
│ TrackedObject, BallisticProfile)                                             │
│ - /home/laptop/AuroreMkVII/AuroreMkVI/src/servo/pca9685_controller.h (servo  │
│ interface pattern)                                                           │
│                                                                              │
│ Headers to satisfy:                                                          │
│ - /home/laptop/AuroreMkVII/include/aurore/ballistic_solver.hpp               │
